Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Der Ruf = El Llamado copy,,Llamado. Revista de los Jovenes independientes,Yoram Rovner,Español,Chile,Santiago de Chile,,Bloque Antifascista Judio,,may 1942 ; issue no.2 published september 1997,09,XX,1997,,,,,,/,,,"No se publicó en el periodo de junio de 1942 a agosto de 1997. No.1 publicado en mayo de 1942, no.2 publicado en septiembre de 1997. Archivo Histórico del Judaísmo Chileno",HUC; Bib Nac Chile
Derej,,,,Español,Chile,Santiago de Chile,,Centro Universitario Judío,,abril 1965,04,XX,1965,,mayo 1968,05,XX,1968,,,,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Diálogo: Revista del Centro de Profesionales Judios,,,,Español,Chile,Santiago de Chile,Miguel Claro 182,Centro de Profesionales Judios,Revista,august/september 1970,09,XX,1970,~,,,,,/,,general,,HUC
"Diálogo intercultural :
comunidad árabe y judía en Chile",,,"coordinadores: Lorenzo Agar Corbinos, Abraham Magendzo Kolstrein",Español,Chile,Santiago de Chile,,Diálogo Intercultural de Jóvenes,,2009,XX,XX,2009,,,,,,/,,,,Univ. de los Andes
Educación del futuro,,,,Español,Chile,Santiago de Chile,,Embajada de Israel,,november 1998,11,XX,1998,,,,,,/,,,,Bib Nac Chile
El Ariete,,,,Español,Chile,,,Vocero Sionista Revisionista en Chile/Nueva Organización Sinista (Revisionista),,1948?,XX,XX,1948,?,,,,,/,,sionista,tomado de : Nes el,Central Archives for the History of the Jewish People (Israel)
El Diario Judío,,,,Español,Chile,,,,,,,,,,,,,,/,,,, https://eldiariojudio.com/category/editorial/
El Diario Israelita de Chile,,,,,Chile,Santiago de Chile,,,,august 1936,08,XX,1936,,7 numeros?,,,,,,,,Bib Nac Chile
El Joven judío,,,,Español,Chile,Santiago de Chile,,,,april 1943,04,XX,1943,,december 1944?,12,XX,1944,%,,,,Bib Nac Chile
El Kolel,,Revista del Kolel Avrejim de Chile,rabino Eliezer David Friedman,Español,Chile,Santiago de Chile,Suecia 488,Kolel Avrejim de Chile / Asociación Israelita de Enseñanza y Esclarecimiento,Revista,1984?,XX,XX,1984,?,,,,,/,irregular,ortodoxa,,UCLA; Harvard; NLI; Bibl Nac Chile
El Estado Judío,,,Meir Grossmann,Español,Chile,,,,,,,,,,,,,,/,,,tomado de : Nes el,
El Matasiete,,,,,Chile,Valparaiso,,,,may 1903,05,XX,1903,,,,,,/,,satira,Periódico de malas pulgas.,Bib Nac Chile
El Mundo,,,,Español,Chile,Santiago de Chile,,Colectividad Judía de Chile,,november 1937,11,XX,1937,,1939,XX,XX,1939,,,,,Bib Nac Chile
El Sábado,,,Agustin Edwards Eastman,Español,Chile,Santiago de Chile,Casilla 13-D,El Mercurio S.A.P.,Revista,200?,XX,XX,200X,,,,,,/,,cultural,,Harvard
El Vocero,,,,Español,Chile,Santiago de Chile,,Vaad Hajinuj : Organización Mundial O.R.T,,,,,,,,,,,/,,,,HUC
El vocero de la Comunidad Israelita Sefaradí para la Colectividad de Chile,,,Hernan Rodriguez F.,Español,Chile,Santiago de Chile,Ricardo Lyon 812,Comunidad Israelita Sefaradí de Chile,Revista,1978,XX,XX,1978,,,XX,XX,1978,,monthly,sefaradies,"Suspendida (feb. 1991)-(ago. 1994) Al reiniciar la publicación después de la suspensión, omitieron números en la numeración correlativa: 151-167. continuacion del Vocero Sefaradí,  1978-1982",Harvard; HUC; 
