Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Shinui,,Tiempo de cambio,Ilana Meller - directora,Español,Chile,Santiago de Chile,,Federación Juvenil Sionista de Chile y el Departamento de Juventud de la O.S.M.,Boletín,1976,XX,XX,1976,,,,,,/,,juventud,,NLI
Sión,,informativo de la Federación Sionista de Chile,Marcos Levy ,Español,Chile,Santiago de Chile,Serrano 202,Federación Sionista de Chile,Boletín,3 enero 1979,01,03,1979,,1990,XX,XX,1990,,,sionista,,Harvard; Princeton;  NYPL; Bibl Nac Chile
Socorro. Salvación. Tierra.,,S.S.T.,,Español,Chile,Santiago de Chile,,Secretaría General y Dirección de Propaganda de la Acción Unida S.S.T.,,june 1946,06,XX,1946,,,,,,/,,,,Bib Nac Chile
Tribuna judia,,,,,Chile,Santiago de Chile,,Centro Cultural Scholem Aleijem,,august 1951,08,XX,1951,,october/november 1951,11,XX,1951,,,,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Union Sionista,,,,Alemán,Chile,Santiago de Chile,,Unión Sionista,Revista,194?,XX,XX,194X,,,,,,/,,sionista,,Harvard; Center for Jewish History CJH (NY); Bib Nac Chile
Vocero sefaradí,,,Marcos Levy Testa - director/editor,Español,Chile,Santiago de Chile,Av. Lyon 837,Comunidad Israelita Sefaradi de Chile,Diario,september/october 1978,10,XX,1978,~,noviembre 1982,11,XX,1982,,monthly,sefaradies,,Harvard; NLI; Bib Nac Chile
WIZO,,,,Español,Chile,Santiago de Chile,,Departamento de Cultura Federacion Wizo,,197?,XX,XX,197X,,,,,,/,,mujeres sionistas,,Harvard
"Zéjel : arte, ciencia, literatura",,,Hernán Rodríguez Fisse,Español,Chile,Santiago de Chile,,Pérez Valenzuela,,invierno 1996,24,XX,1996,,june 2005,06,XX,2005,,quarterly,sefaradies,,
,Unzer wort,Nuestra palabra,,Idish,Chile,Santiago de Chile,,,,19 enero 1934,01,19,1934,,,,,,/,,,,Bib Nac Chile
אונזער וועג : פעריאדישע אויסגאבע פאר רעליגיעזע און נאציאנאלע ענינים,Unser Veg,Nuestro camino,,"Idish,Español",Chile,Santiago de Chile,San Francisco 1028,Kehilla Religiosa Israelita ,Boletín,marzo-abril 1950,04,XX,1950,~,,,,,/,,general,,NLI
אונזער לעבן : פראגרעסיווע וועכנטלעכע צייטשריפט,Unzer Lebn,Nuestra vida,Jacobo Pilowsky - director,Idish,Chile,Santiago de Chile,San Diego 110,,Diario,junio 1936,06,XX,1936,,julio 1937,07,XX,1937,,,,,Harvard; NLI
אונזער לעבן,,Vida nuestra,,Idish,Chile,Santiago de Chile,Eyzaguirre 1116,,Diario,10 april 1931,04,10,1931,,,,,,/,weekly,,,Harvard; Bib Nac Chile
אונזער שטימע, Unzer shtime,Nuestra voz,,Idish,Chile,Santiago de Chile,Art. Prat 1016,,Boletín,195?,XX,XX,195X,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY)
,Yidishe prese ,Prensa Israelita,,Idish,Chile,Santiago de Chile,Tarapaca 884, Asociación de Jóvenes Israelitas,,1929?,XX,XX,1929,?,1936,XX,XX,1936,,,,continua como Dos Wort,IWO; Bib Nac Chile
 אין אנדענק,Tsaytshrift fun Farband fun Poylishe Yidn in Tshile,In ondenk,,Idish,Chile,Santiago de Chile,,Farband fun Poylishe Yidn in Tshile /Unión Israelita Polaca de Chile,Diario,1950s,XX,XX,195X,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY)
ארץ ישראל : אפיציעלער ארגאן פון דער אידנשטאטס-פארטיי אין טשילי,Erets Yiśroʼel : ofitsyeler organ fun der Idnshtots-partey in Tshili,,,Idish,Chile,Santiago de Chile,,,,193?,XX,XX,193X,,,,,,/,,,,Center for Jewish History CJH (NY)
ביי די אנדן : מאנאטשריפט פאר ליטעראטור און געזעלשאפטלעכע ענינים,Bay di Andn : Monatshrift far literatur un gezelshaftlekhe inyonim,Al pié de los Andes : revista mensual israelita,R. Riesenberg,Idish,Chile,Santiago de Chile,Catedral 1037,,Revista,febrero 1932,02,XX,1932,,,,,,/,,literatura,,Harvard; NLI; Center for Jewish History CJH (NY)
דאס ווארט,Dos Wort,La palabra,יצחק גארען,Idish,Chile,Santiago de Chile,Tarapaca 884,Idisher kolektivitet in Tshile,Diario,19 february 1937,02,19,1937,,18 august 1938,08,18,1938,,,general,,Harvard; Bib Nac Chile
דאס יידישע ווארט,Dos yidishe wort,La palabra israelita:  semanario independiente de la colectividad israelita de Chile,Mateo Yudelevich Goldbaum,"Idish,Español",Chile,Santiago de Chile,Santo Domingo 1081,Colcetividad Israelita de Chile,Diario,13 april 1944,04,13,1944,,,,,,/,weekly; daily,general,"Primero apareció en español e ídish, luego sólo en español. Ver bajo La palabra israelita",Harvard; Center for Jewish History CJH (NY); NYPL; NLI
,Di Wort,,Noé Vital,Idish,Chile,,,,Semanario,,,,,,,,,,,weekly,bundista,Nes El. Cambia de nombre a Yidishe Wort,
,Di Naie Zait,Los Nuevos tiempos,,Idish,Chile,,,,,21 february 1933,02,21,1933,,,,,,/,,,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
,Ha mishmar ,,,,Chile,Santiago de Chile,,Mifleguet Hashomer Hatzair,,august 1954,08,XX,1954,,december 1956,12,XX,1956,,,,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
"זיד אמעריקע : חודש-זשורנאל פאר ליטעראטור, קונסט, קריטיק און קולטור געזעלשאפטלעכע ענינים","Zid Ameriḳe : Ḥoydesh zshurnal far liṭeraṭur, ḳunsṭ, ḳriṭiḳ un ḳulṭur gezelshafṭlekhe inyonim / ","Sud América : literatura, crítica, arte",Moshe David Giser,Idish,Chile,Santiago de Chile,Porvernir 962,,Revista,february 1935,02,XX,1935,,,,,,/,monthly,literatura idish,,Harvard; Center for Jewish History CJH (NY) ; NLI; Bib Nac Chile
טעטיקייטס-באריכט פון פארבאנד פון פוילישע יידן אין טשילע ,,,שלמה באכראך,Idish,Chile,Santiago de Chile,,,,octubre 1954 - abril 1957,10,XX,1954,,,04,XX,1957,,,,,NLI
טשילענער אידישע וואכענבלאט : ערשטע אידישע וואכענבלאט אין טשילע,Tshilener idishe vakhenblat,Semanario Israelita de Chile,נח וויסאל,Idish,Chile,Santiago de Chile,Copiapó 876,Asociación de Jóvenes Israelitas ,Diario,17 enero 1930,01,17,1930,,1933 o 1938?,,,,,weekly,,continua como Prensa Israelita (idish) y luego Dos Wort,Harvard; Indiana Univ; Center for Jewish History CJH (NY); NLI; Bib Nac Chile
פאסיפיק,"Pasifik : Ḥoydesh-zshurnal far liṭeraṭur, ḳunsṭ, ḳriṭiḳ un ḳulṭur-fragn.","Pasifik : revista mensual de literatura, critica y arte",Moisés David Guiser,Idish,Chile,Santiago de Chile,San Diego 630,,Revista,november 1938,11,XX,1938,,,,,,/,monthly,liteatura,,Harvard; Brandeis; Univ. of Washington; Center for Jewish History CJH (NY); IWO
