Titulo_Original,Transliteración,Titulo en Español,Editor/Director,Idioma,Pais,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicioss,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Frecuencia,Clasificación,Notas,Ubicación,fotos: azul: Harvard; naranja: NLI
"Libertad : órgano del Centro Juvenil Sionista, Macabi.",,,,Español,Colombia,Cali,,"Centro Juvenil Sionista, Macabi",,1943,,,1943,1948?,XX,XX,1948?,,,,Center for Jewish History CJH (NY); NLI,
Lo nuestro: organo estudiantil del Colegio Hebreo Union,,,Ulises Consuegra,Español,Colombia,Barranquilla,,"
Colegio Hebreo Unión",bulletin,february 1988,02,,1988,,,,,,escolar,,NLI,1988 febrero no.1
Maguen: revista de la Comunidad Hebrea Sefaradi de Bogotá,,,,Español,Colombia,Bogotá,,Comunidad Hebrea Sefaradi de Bogotá,,septiembre 1991,09,,1991,,,,,c/2 meses,Sefaradies,,UCLA,
Menorah,,revista noticiosa quincenal,,Español,Colombia,Bogotá,Calle 23  no.14-35,,magazine,agosto 1950,08,,1950,1995,XX,XX,1995,biweekly,,,Harvard; Center for Jewish History CJH (NY); HUC; Utexas; UCLA; NLI,1950 agosto año 1 no.1
Nexos,,,,Español,Colombia,Cali o Bogota?,,Centro Universitario Hebreo,,1960/70?,,,,,,,,,,,Harvard,
"Noti Hebreo : pre-escolar, primaria, bachillerato",,,,Español,Colombia,Cali,,Colegio Hebreo Jorge Isaac,,1990?,,,1990?,,,,,semestral,,,Bib Nac Colombia,
Noticiero,,,,Español,Colombia,Bogotá,,Comité Ejecutivo de la Gran Logia de Distrito 23 de la B'nai B'rith,,1900s,,,,,,,,,,,Harvard,
Notihertzl,,,,Español,Colombia,Medellín,,Colegio Theodoro Hertzl ,,1993,,,1993,,,,,,educación,,UCLA,
Nuestra opinión : revista de los universitarios y profesionales judios en Colombia,,,Mario Sinay; Evelyn Drezner; David Liffman; David Slomka; Alberto Kadosh,Español,Colombia,Bogotá,Apartado Aereo 101741,Centro Universitario Hebreo,magazine,marzo 1988,03,,1988,,,,,,juventud universitaria,,UCLA; NLI,1988 marzo año 1 no.1
Nuestra Tribuna,,,,Español,Colombia,Bogotá,,Centro Israelita de Bogotá,,1933?,,,1933?,,,,,,,,Harvard,
Nuestra Tribuna,,,Jorge Michonik - director; Jaime Fainboim - redactor,Español,Colombia,Bogotá,Apartado 699,Federación Hebrea de Colombia,magazine,1932?,,,1932?,,,,,monthly,general,,NLI,1935 septiembre año 3 no.25
Nuestro boletín ,,,,Español,Colombia,Bogotá,,"B'nai B'rith. Distrito XXIII (Bogotá, Colombia). Relaciones Humanas.",bulletin,junio 1995,06,,1995,,,,,quarterly,,,UCLA,
Nuevo Ideal,,,,Español,Colombia,Bogotá,,"Confederación de Juventudes
Hebreas de Colombia",,1960?,,,1960?,,,,,,,,NLI,
Nuevos Horizontes,,,,Español,Colombia,Medellín,,Colegio Theodoro Hertzl,,1960,,,1960,,,,,,educación,,,
Renacimiento,,,Hadar Bibliowicz - director,,Colombia,Bogotá,,Hashomer Hatzair en Colombia,magazine,1966,,,1966,,,,,,sionista socialista,,NLI,1966 mayo-junio no.3
Revista Bet El,,,,Español,Colombia,Barranquilla,,Centro Israelita Filantrópico,magazine,1994,,,1994,,,,,,,,Harvard,
Revista Cultural de la Embajada de Israel en Colombia,,,,Español,Colombia,Bogotá,,Embajada de Israel,magazine,198?,,,198X,,,,,,,,Bib Nac Colombia,
Revista Digital Hashavúa Bogotá,,,Raquel Celnik de Goldschmidt,Español,Colombia,Bogotá,Calle 94 # 9-51 apartamento 705 ,,magazine,mayo 2005,05,,2005,,,,,weekly,general,,,
Revista juvenil Tzivot Hashem,,,,Español,Colombia,Barranquilla,,Lubavitch Colombia,magazine,1991,,,1991,,,,,,juventud jabad,,UCLA; NLI,1993 septiembre año 3 no.15
Revista Vida y costumbre de los países,,,Ignacio Arturo Torres Puerta - diretor,Español,Colombia,Cali,Calle 62,Centro Israelita de Beneficencia ,magazine,1960,,,1960,,,,,monthly,cultural,,NLI,2da epoca 1974 mayo año 14 no.15
